col,label,block,community_id,eigenvector_abs,r_composite,pct_to_gain_Contact reps: oppose cuts,pct_to_gain_Talk to others about cuts,pct_to_gain_Share info online,pct_to_gain_Contact reps: support funding,ror_Contact reps: oppose cuts,ror_Talk to others about cuts,ror_Share info online,ror_Contact reps: support funding
research_1,Knowledge of university research,Research Beliefs,5,0.4351597579326669,0.326,3,12.6,13.1,5.8,1.53,2.41,3,2.01
govfund_10,Local area negatively impacted by funding cuts,Govt Funding,6,0.4329690606274323,-0.223,10.1,12.9,9.9,8.3,6.25,3.56,3.51,3.97
univ_2_9,Universities contribute: better intl relationships,University Perceptions,3,0.4317286081329797,0.39,2.1,20.1,14.7,4.2,1.47,5.9,5.23,1.95
govtfund_3,Knowledge of recent funding cuts,Govt Funding,5,0.43096641669685265,0.438,24.2,37.6,41.6,23.6,7.64,7.81,12.46,6.74
research_4_3,Clear how to apply research findings in my life,Research Beliefs,5,0.42788383361307153,0.3,10.7,13,11,16,4,2.75,2.92,6.26
research_3_nat_mean,Research impact: US people & government (nat. subscale),Research Beliefs,3,0.3970349274456187,0.295,4.8,11.2,6.8,4.1,2.83,3.67,2.76,2.29
research_4_2,Know where to look up academic research,Research Beliefs,5,0.3836434756857577,0.271,3,7.7,6.5,4.4,1.83,2.3,2.48,2.25
highered_1_1,Approval: private colleges & universities,Higher Education,8,0.35847476432937486,0.171,-1,7.8,6.7,2.1,0.81,2.12,2.29,1.44
govtfund_7_3,Perceived university priority: develop products to sell,Govt Funding,7,0.35497338869613404,0.108,7.6,6.3,6,9,2.78,1.68,1.87,3.04
research_4_1,Usually understand academic research findings,Research Beliefs,5,0.3494623485226789,0.296,4.7,11.7,10.3,8,2.22,2.91,3.32,3.38
research_4_4,Often think about science impact on daily life,Research Beliefs,5,0.3484844013733245,0.46,16.8,19.5,11.4,19.6,9.31,4.57,3.21,11.14
highered_3_1,Scientific contribution: private colleges,Higher Education,8,0.3389786283633455,0.151,-0.7,2.8,0.5,-1,0.84,1.51,1.1,0.77
highered_4_1,Perception: private colleges are nonprofit,Higher Education,1,0.32434781639297633,0.166,8.7,-4.5,5.4,7.9,2.51,0.66,1.64,2.25
research_4_5,Science benefits outweigh harms,Research Beliefs,2,0.3173607921517096,0.164,7.3,6.9,5.7,5.5,4.18,2.1,2.2,2.75
govtfund_7_4,Perceived university priority: serve govt interests,Govt Funding,7,0.3107809825495175,0.004,-1.8,7.2,1.3,-2.4,0.73,1.68,1.19,0.66
govtfund_5_4,Govt funding benefit: results become publicly available,Govt Funding,9,0.3029298790421424,0.283,8.9,13.4,13.3,9.6,4.18,3.33,4.52,4.17
research_2,Science is the best way to find truth,Research Beliefs,2,0.296139278529865,0.175,2.1,7,4.7,1.4,1.7,2.6,2.3,1.4
govtfund_5_9,Govt funding risk: political agendas influence funding,Govt Funding,1,0.2915880034206387,-0.11,7,27.9,31.9,20.6,2.16,4.48,6.58,4.93
research_3_13,Research impact: disadvantaged individuals,Research Beliefs,3,0.2798541336743521,0.162,7.2,14,14.8,6.5,2.94,3.2,4.52,2.52
govtfund_5_2,Govt funding benefit: research can focus long-term,Govt Funding,9,0.2747495065080914,0.18,2.2,9.8,8,3.4,1.61,3.05,3.29,1.97
govtfund_5_3,Govt funding benefit: exciting research is sped up,Govt Funding,9,0.22700989482521003,0.194,3.3,16.8,11.7,5.6,1.73,4.08,3.53,2.31
govtfund_5_8,Govt funding risk: research delayed by oversight,Govt Funding,1,0.22294150171482768,-0.011,26,4.2,2.5,25.3,7.16,1.45,1.33,6.43
govtfund_5_1,Govt funding benefit: researchers have enough resources,Govt Funding,9,0.1681094411641542,0.071,-0.8,11.3,4.8,2.5,0.86,2.84,1.81,1.53
research_6_composite,Perceived research risk (severity × likelihood),Research Beliefs,1,0.12632962339335407,-0.032,0.6,3.2,-4.4,1.2,1.11,1.38,0.49,1.24
govtfund_5_5,Govt funding benefit: researchers held to higher standards,Govt Funding,9,0.11315230515484798,0.235,12.3,12.5,12.5,7.7,4.82,2.66,3.34,2.71
