Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID1086,Authenticity check: QID1150,Authenticity check: QID1152,Authenticity check: QID1153,Authenticity check: QID1322913324,Authenticity check: QID444,Authenticity check: QID447,Authenticity check: Bots
RETURNED,Not Applicable,2026-05-15T17:40:29.012000Z,,,2026-05-18T13:27:57.006079Z,,,5595,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:40:32.779000Z,2026-05-15T18:18:27.155000Z,2026-05-18T14:02:47.271000Z,2026-05-15T18:18:27.559311Z,2275.0,CDT15VVH,434,English,43,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:38.095000Z,2026-05-15T18:05:26.063000Z,2026-05-18T14:02:47.570000Z,2026-05-15T18:05:26.528013Z,1488.0,CDT15VVH,937,"Spanish, English",23,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:32.945000Z,2026-05-15T18:12:11.044000Z,2026-05-18T14:02:47.881000Z,2026-05-15T18:12:11.469268Z,1899.0,CDT15VVH,7091,English,56,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,2026-05-15T17:40:34.936000Z,,,2026-05-18T13:27:57.010833Z,,,1718,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TIMED-OUT,Not Applicable,2026-05-15T17:40:34.519000Z,,,2026-05-18T13:27:57.020236Z,244043.0,,5552,English,59,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:40:33.623000Z,2026-05-15T18:01:52.546000Z,2026-05-18T14:02:48.149000Z,2026-05-15T18:01:53.210289Z,1279.0,CDT15VVH,10556,English,46,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,,,,2026-05-18T13:27:57.023322Z,,,7033,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RETURNED,Not Applicable,2026-05-15T17:40:34.522000Z,,,2026-05-18T13:27:57.019627Z,,,108,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:40:39.292000Z,2026-05-15T17:57:14.408000Z,2026-05-18T14:02:48.445000Z,2026-05-15T17:57:14.835028Z,996.0,CDT15VVH,654,"English, Swahili",27,DATA_EXPIRED,Black,Kenya,United States,United States,English,Yes,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
RETURNED,Not Applicable,2026-05-15T17:40:36.017000Z,,,2026-05-18T13:27:57.025010Z,,,3898,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:40:36.171000Z,2026-05-15T18:25:29.534000Z,2026-05-18T14:02:48.762000Z,2026-05-15T22:57:24.354366Z,2694.0,CDT15VVH,9964,English,73,Male,White,United States,United States,Italy,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:40.992000Z,2026-05-18T14:03:29.931000Z,2026-05-18T14:03:30.587000Z,2026-05-18T14:03:30.756995Z,246169.0,Manual Completion,2191,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:32.123000Z,2026-05-15T18:08:36.151000Z,2026-05-18T14:02:49.062000Z,2026-05-15T18:08:36.593767Z,1685.0,CDT15VVH,5494,English,64,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:50.522000Z,2026-05-15T18:11:27.668000Z,2026-05-18T14:02:49.345000Z,2026-05-15T18:11:28.098221Z,1838.0,CDT15VVH,151,English,35,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,mixed
RETURNED,Not Applicable,2026-05-15T17:40:52.663000Z,,,2026-05-18T13:27:57.032235Z,,,10828,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:40:36.724000Z,2026-05-15T18:15:34.476000Z,2026-05-18T14:02:49.633000Z,2026-05-15T18:15:34.889505Z,2098.0,CDT15VVH,2654,English,33,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
TIMED-OUT,Not Applicable,2026-05-15T17:40:47.740000Z,,,2026-05-18T13:27:57.037909Z,244030.0,,21,English,27,Female,White,United States,United States,DATA_EXPIRED,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:42.036000Z,2026-05-15T18:12:02.100000Z,2026-05-18T14:02:49.905000Z,2026-05-15T18:12:02.531310Z,1881.0,CDT15VVH,1523,English,37,Male,Asian,Sri Lanka,United States,Sri Lanka,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:37.519000Z,2026-05-15T18:00:59.951000Z,2026-05-18T14:02:50.182000Z,2026-05-15T18:01:00.330725Z,1223.0,CDT15VVH,4421,"English, Spanish",29,Male,Other,United States,United States,United States,Spanish,Yes,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
RETURNED,Not Applicable,2026-05-15T17:40:41.540000Z,,,2026-05-18T13:27:57.041464Z,,,10228,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RETURNED,Not Applicable,2026-05-15T17:50:25.552000Z,,,2026-05-18T13:27:57.040818Z,,,5670,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:42:36.031000Z,2026-05-15T17:58:17.419000Z,2026-05-18T14:02:50.462000Z,2026-05-15T17:58:17.864467Z,942.0,CDT15VVH,276,English,35,Female,White,United States,United States,United States,English,Yes,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:39.395000Z,2026-05-15T18:04:44.128000Z,2026-05-18T14:02:50.744000Z,2026-05-15T18:04:44.557814Z,1445.0,CDT15VVH,531,English,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:39.262000Z,2026-05-15T18:01:00.489000Z,2026-05-18T14:02:51.800000Z,2026-05-15T18:01:00.907303Z,1222.0,CDT15VVH,384,English,23,Female,Asian,United States,United States,United States,Mandarin,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:47.012000Z,2026-05-15T18:05:56.961000Z,2026-05-18T14:02:52.109000Z,2026-05-15T18:05:57.396319Z,1510.0,CDT15VVH,8585,"English, Spanish",35,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:57.836000Z,2026-05-15T18:04:24.584000Z,2026-05-18T14:02:52.673000Z,2026-05-15T18:04:24.966716Z,1407.0,CDT15VVH,4193,English,51,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Fail,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:40.950000Z,2026-05-15T18:11:01.602000Z,2026-05-18T14:02:53.051000Z,2026-05-15T18:11:02.015867Z,1821.0,CDT15VVH,145,English,20,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:43.383000Z,2026-05-15T18:33:09.994000Z,2026-05-18T14:02:53.340000Z,2026-05-15T18:33:10.392272Z,3147.0,CDT15VVH,98,"English, Polish",65,Female,White,Poland,United States,United States,Polish,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
RETURNED,Not Applicable,2026-05-15T17:40:43.411000Z,,,2026-05-18T13:27:57.047535Z,,,405,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:43:29.062000Z,2026-05-15T18:10:23.070000Z,2026-05-18T14:02:53.663000Z,2026-05-15T18:10:24.095748Z,1615.0,CDT15VVH,1354,"English, Spanish",27,Male,White,Colombia,United States,Colombia,Spanish,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:41:09.722000Z,2026-05-15T18:33:30.175000Z,2026-05-18T14:02:53.960000Z,2026-05-15T18:33:30.595945Z,3141.0,CDT15VVH,171,English,28,Male,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,high
APPROVED,Not Applicable,2026-05-15T17:41:01.207000Z,2026-05-15T18:18:07.505000Z,2026-05-18T14:02:54.279000Z,2026-05-15T18:18:08.003145Z,2227.0,CDT15VVH,1148,English,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,high
RETURNED,Not Applicable,2026-05-15T17:40:44.105000Z,,,2026-05-18T13:27:57.072841Z,,,527,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:40:44.338000Z,2026-05-15T17:55:33.638000Z,2026-05-18T14:02:54.599000Z,2026-05-15T17:55:34.076949Z,890.0,CDT15VVH,455,English,27,Male,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:45.300000Z,2026-05-15T18:18:36.115000Z,2026-05-18T14:02:54.892000Z,2026-05-15T18:18:36.526595Z,2271.0,CDT15VVH,2720,English,37,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:41:13.525000Z,2026-05-15T18:21:57.696000Z,2026-05-18T14:02:55.208000Z,2026-05-15T22:38:45.546743Z,2445.0,CDT15VVH,329,English,32,Male,White,United States,United States,United States,English,Yes,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,mixed
APPROVED,Not Applicable,2026-05-15T17:41:00.538000Z,2026-05-15T18:12:14.838000Z,2026-05-18T14:02:55.533000Z,2026-05-15T18:12:15.269389Z,1875.0,CDT15VVH,2247,English,32,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:49.419000Z,2026-05-15T18:10:51.852000Z,2026-05-18T14:02:55.833000Z,2026-05-15T18:10:52.282041Z,1803.0,CDT15VVH,137,English,38,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
TIMED-OUT,Not Applicable,2026-05-15T17:40:47.176000Z,,,2026-05-18T13:27:57.059862Z,244030.0,,8078,English,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:40:49.993000Z,2026-05-15T17:54:51.468000Z,2026-05-18T14:02:56.140000Z,2026-05-15T17:54:51.906137Z,842.0,CDT15VVH,288,English,28,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month,N/A,Pass,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:41:19.175000Z,2026-05-15T18:16:23.393000Z,2026-05-18T14:02:56.444000Z,2026-05-15T18:16:23.794932Z,2105.0,CDT15VVH,178,"English, Spanish",25,Female,White,United States,United States,United States,Spanish,No,Part-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:49.148000Z,2026-05-15T18:02:50.500000Z,2026-05-18T14:02:56.712000Z,2026-05-15T18:02:50.931821Z,1322.0,CDT15VVH,16,"English, Spanish",27,Male,Mixed,Puerto Rico,United States,Puerto Rico,Spanish,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:55.098000Z,2026-05-15T18:04:12.959000Z,2026-05-18T14:02:57.006000Z,2026-05-15T18:04:26.829271Z,1398.0,CDT15VVH,18,English,41,Male,White,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:41:00.736000Z,2026-05-18T14:03:30.861000Z,2026-05-18T14:03:31.228000Z,2026-05-18T14:03:31.384913Z,246151.0,Manual Completion,9435,English,61,Female,Black,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:49.972000Z,2026-05-15T17:57:29.914000Z,2026-05-18T14:02:57.301000Z,2026-05-15T17:57:30.348142Z,1000.0,CDT15VVH,7214,English,30,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:41:11.934000Z,2026-05-15T18:04:58.132000Z,2026-05-18T14:02:57.570000Z,2026-05-15T18:04:58.541241Z,1427.0,CDT15VVH,167,English,33,Female,White,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:50.882000Z,2026-05-15T18:01:31.632000Z,2026-05-18T14:02:57.874000Z,2026-05-15T18:01:32.099250Z,1241.0,CDT15VVH,2801,English,37,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:51.047000Z,2026-05-15T17:59:56.093000Z,2026-05-18T14:02:58.215000Z,2026-05-15T17:59:56.541141Z,1146.0,CDT15VVH,954,English,40,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
TIMED-OUT,Not Applicable,2026-05-15T17:40:55.327000Z,,,2026-05-18T13:27:57.068380Z,244022.0,,10,English,52,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
