Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID1086,Authenticity check: QID1150,Authenticity check: QID1152,Authenticity check: QID1153,Authenticity check: QID1322913324,Authenticity check: QID444,Authenticity check: QID447,Authenticity check: Bots
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:05.103000Z,2026-05-18T20:58:05.376000Z,,2026-05-18T20:58:05.811772Z,1321,CDT15VVH,682,English,33,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:05.962000Z,2026-05-18T21:03:03.423000Z,,2026-05-18T21:03:03.967580Z,1618,CDT15VVH,6319,English,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,2026-05-18T20:36:06.835000Z,,,,,,7929,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RETURNED,Not Applicable,2026-05-18T20:36:06.839000Z,,,,,,18536,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:07.147000Z,2026-05-18T21:16:00.437000Z,,2026-05-18T21:16:00.883131Z,2394,CDT15VVH,3318,"Vietnamese, English",55,Male,Asian,Vietnam,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RETURNED,Not Applicable,2026-05-18T20:36:08.237000Z,,,,,,8,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:08.965000Z,2026-05-18T21:22:34.916000Z,,2026-05-18T21:22:35.372222Z,2786,CDT15VVH,13,"English, Spanish",25,Female,Other,United States,United States,United States,Spanish,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:09.497000Z,2026-05-18T20:55:17.042000Z,,2026-05-18T20:55:17.476426Z,1148,CDT15VVH,1844,English,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:09.644000Z,2026-05-18T21:26:16.668000Z,,2026-05-18T21:26:17.139272Z,3008,CDT15VVH,559,English,38,Male,Prefer not to say,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
TIMED-OUT,Not Applicable,2026-05-18T20:36:10.043000Z,,,,61244,,522,"French, English, Spanish, Portuguese, German",35,Male,Mixed,United States,United States,United States,English,Yes,Part-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:10.787000Z,2026-05-18T21:15:00.856000Z,,2026-05-18T21:15:01.360637Z,2331,CDT15VVH,582,English,44,Female,Black,United States,United States,DATA_EXPIRED,English,No,Part-Time,N/A,Pass,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:10.808000Z,2026-05-18T21:01:07.944000Z,,2026-05-18T21:01:08.334505Z,1498,CDT15VVH,12476,"Spanish, English, Hungarian",52,Female,White,Ukraine,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:11.050000Z,2026-05-18T21:14:11.780000Z,,2026-05-18T21:14:12.210864Z,2281,CDT15VVH,1117,English,41,Male,Asian,Hong Kong,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:11.077000Z,2026-05-18T20:57:56.497000Z,,2026-05-18T20:57:57.436222Z,1306,CDT15VVH,424,"English, Spanish",42,Male,Mixed,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:11.531000Z,2026-05-18T21:09:24.917000Z,,2026-05-18T21:09:25.364417Z,1994,CDT15VVH,858,English,35,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:12.050000Z,2026-05-18T21:05:14.822000Z,,2026-05-18T21:05:15.229569Z,1743,CDT15VVH,1115,English,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:12.477000Z,2026-05-18T20:58:46.583000Z,,2026-05-18T20:58:46.992622Z,1355,CDT15VVH,726,"English, Thai",32,Female,Asian,Thailand,United States,United States,Thai,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:13.408000Z,2026-05-18T21:06:09.339000Z,,2026-05-18T21:06:09.842675Z,1796,CDT15VVH,10974,English,63,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:14.106000Z,2026-05-18T21:01:42.013000Z,,2026-05-18T21:01:42.441351Z,1528,CDT15VVH,70,English,54,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:15.085000Z,2026-05-18T20:56:24.625000Z,,2026-05-18T20:56:25.025566Z,1210,CDT15VVH,441,English,37,Female,Mixed,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:15.687000Z,2026-05-18T21:00:20.725000Z,,2026-05-18T21:00:21.117669Z,1446,CDT15VVH,102,"English, Greek",42,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:16.150000Z,2026-05-18T20:54:42.379000Z,,2026-05-18T20:54:42.842917Z,1107,CDT15VVH,31,English,33,Male,Asian,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:17.341000Z,2026-05-18T21:00:12.082000Z,,2026-05-18T21:00:12.502647Z,1435,CDT15VVH,12,English,22,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),N/A,N/A,Pass,Fail,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:17.570000Z,2026-05-18T20:48:10.420000Z,,2026-05-18T20:48:10.895076Z,713,CDT15VVH,638,English,27,Female,White,United States,United States,United States,English,Yes,Part-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:17.854000Z,2026-05-18T21:01:34.193000Z,,2026-05-18T21:01:34.676308Z,1517,CDT15VVH,602,English,43,Male,White,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:18.258000Z,2026-05-18T21:02:32.093000Z,,2026-05-18T21:02:32.503981Z,1574,CDT15VVH,116,"English, Spanish",21,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,2026-05-18T20:36:19.021000Z,,,,,,3312,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:19.089000Z,2026-05-18T21:16:40.580000Z,,2026-05-18T21:16:40.997369Z,2422,CDT15VVH,57,English,30,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:19.753000Z,2026-05-18T21:13:12.212000Z,,2026-05-18T21:13:12.611632Z,2213,CDT15VVH,1080,English,55,Male,Asian,China,United States,United States,Chinese,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:19.862000Z,2026-05-18T20:55:01.122000Z,,2026-05-18T20:55:01.576257Z,1122,CDT15VVH,5,English,23,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:20.394000Z,2026-05-18T20:54:48.528000Z,,2026-05-18T20:54:48.969827Z,1109,CDT15VVH,5,English,31,Male,White,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:20.435000Z,2026-05-18T20:54:30.320000Z,,2026-05-18T20:54:30.738189Z,1090,CDT15VVH,314,English,29,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:20.571000Z,2026-05-18T21:16:04.788000Z,,2026-05-18T21:16:05.242848Z,2385,CDT15VVH,5976,English,33,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:20.776000Z,2026-05-18T21:09:34.415000Z,,2026-05-18T21:09:34.834266Z,1994,CDT15VVH,12,English,45,Female,Asian,Philippines,United States,Philippines,Tagalog-Filipino,No,Unemployed (and job seeking),N/A,Pass,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:21.096000Z,2026-05-18T20:56:13.050000Z,,2026-05-18T20:56:13.454933Z,1192,CDT15VVH,10289,"English, Khmer",50,Female,Asian,Philippines,United States,Cambodia,English,DATA_EXPIRED,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:21.405000Z,2026-05-18T21:20:09.845000Z,,2026-05-18T21:20:10.293957Z,2629,CDT15VVH,3123,English,44,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Fail,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:21.788000Z,2026-05-18T20:59:07.839000Z,,2026-05-18T20:59:08.290932Z,1367,CDT15VVH,149,English,34,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:21.902000Z,2026-05-18T20:59:45.184000Z,,2026-05-18T20:59:45.601647Z,1404,CDT15VVH,917,English,66,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:22.596000Z,2026-05-18T20:55:49.160000Z,,2026-05-18T20:55:49.574567Z,1167,CDT15VVH,2781,English,33,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:23.078000Z,2026-05-18T21:02:25.645000Z,,2026-05-18T21:02:26.073623Z,1563,CDT15VVH,66,English,37,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:23.243000Z,2026-05-18T21:11:35.709000Z,,2026-05-18T21:11:36.283335Z,2113,CDT15VVH,4,"Spanish, English",27,Female,Other,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:24.316000Z,2026-05-18T20:52:12.423000Z,,2026-05-18T20:52:12.958174Z,949,CDT15VVH,84,English,34,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:24.481000Z,2026-05-18T21:04:13.912000Z,,2026-05-18T21:04:14.304395Z,1670,NOCODE,2961,"Afrikaans, English, French, Swahili",35,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:24.735000Z,2026-05-18T21:07:48.167000Z,,2026-05-18T21:07:48.571301Z,1884,CDT15VVH,281,"Swahili, English",47,Male,Black,Kenya,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:25.406000Z,2026-05-18T21:06:23.964000Z,,2026-05-18T21:06:24.396978Z,1799,CDT15VVH,10702,English,51,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,Pass,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:25.694000Z,2026-05-18T20:57:12.151000Z,,2026-05-18T20:57:12.605566Z,1247,CDT15VVH,1675,English,38,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,2026-05-18T20:36:25.719000Z,,,,,,195,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:26.653000Z,2026-05-18T21:12:37.023000Z,,2026-05-18T21:12:37.469206Z,2171,CDT15VVH,273,English,57,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:27.186000Z,2026-05-18T21:00:34.432000Z,,2026-05-18T21:00:34.945715Z,1448,CDT15VVH,932,English,60,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:27.944000Z,2026-05-18T21:06:37.297000Z,,2026-05-18T21:06:37.719522Z,1810,CDT15VVH,209,English,50,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:28.035000Z,2026-05-18T21:08:55.574000Z,,2026-05-18T21:08:56.079873Z,1948,CDT15VVH,1549,English,45,Male,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,2026-05-18T20:36:28.202000Z,,,,,,72,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:28.216000Z,2026-05-18T21:13:27.847000Z,,2026-05-18T21:13:28.281007Z,2220,CDT15VVH,54,English,28,Male,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:28.230000Z,2026-05-18T20:49:08.717000Z,,2026-05-18T20:49:09.173997Z,761,CDT15VVH,525,English,28,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:28.374000Z,2026-05-18T21:11:35.536000Z,,2026-05-18T21:11:35.980349Z,2108,CDT15VVH,5,English,38,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:29.100000Z,2026-05-18T21:08:44.507000Z,,2026-05-18T21:08:44.945814Z,1936,CDT15VVH,17,English,27,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
TIMED-OUT,Not Applicable,2026-05-18T20:36:29.704000Z,,,,61225,,0,English,21,Female,White,United States,United States,DATA_EXPIRED,English,Yes,Part-Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:31.339000Z,2026-05-18T20:57:40.045000Z,,2026-05-18T20:57:40.451195Z,1269,CDT15VVH,54,English,40,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:31.474000Z,2026-05-18T21:11:01.069000Z,,2026-05-18T21:11:01.486316Z,2070,CDT15VVH,18,English,46,Male,Black,Ghana,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,N/A,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:32.728000Z,2026-05-18T21:14:45.628000Z,,2026-05-18T21:14:46.042873Z,2293,CDT15VVH,63,English,34,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:32.938000Z,2026-05-18T21:03:32.128000Z,,2026-05-18T21:03:32.844869Z,1620,CDT15VVH,4,English,21,Male,White,United States,United States,United States,English,Yes,Part-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:32.993000Z,2026-05-18T21:22:47.593000Z,,2026-05-18T21:22:48.024324Z,2775,CDT15VVH,81,English,22,Female,Mixed,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:33.074000Z,2026-05-18T21:04:12.846000Z,,2026-05-18T21:04:13.287426Z,1660,CDT15VVH,4741,English,42,Female,Other,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,2026-05-18T20:36:33.349000Z,,,,,,5909,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RETURNED,Not Applicable,2026-05-18T20:36:33.690000Z,,,,,,9151,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:35.363000Z,2026-05-18T21:15:45.490000Z,,2026-05-18T21:15:45.984559Z,2351,CDT15VVH,13,English,62,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:35.420000Z,2026-05-18T20:55:09.601000Z,,2026-05-18T20:55:10.240395Z,1115,CDT15VVH,1704,English,42,Female,White,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
