Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID1086,Authenticity check: QID1150,Authenticity check: QID1152,Authenticity check: QID1153,Authenticity check: QID1322913324,Authenticity check: QID444,Authenticity check: QID447,Authenticity check: Bots
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:36.724000Z,2026-05-15T18:15:34.476000Z,,2026-05-15T18:15:34.889505Z,2098,CDT15VVH,2654,English,33,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:42.036000Z,2026-05-15T18:12:02.100000Z,,2026-05-15T18:12:02.531310Z,1881,CDT15VVH,1523,English,37,Male,Asian,Sri Lanka,United States,Sri Lanka,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:37.519000Z,2026-05-15T18:00:59.951000Z,,2026-05-15T18:01:00.330725Z,1223,CDT15VVH,4421,"English, Spanish",29,Male,Other,United States,United States,United States,Spanish,Yes,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:42:36.031000Z,2026-05-15T17:58:17.419000Z,,2026-05-15T17:58:17.864467Z,942,CDT15VVH,276,English,35,Female,White,United States,United States,United States,English,Yes,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:39.395000Z,2026-05-15T18:04:44.128000Z,,2026-05-15T18:04:44.557814Z,1445,CDT15VVH,531,English,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:39.262000Z,2026-05-15T18:01:00.489000Z,,2026-05-15T18:01:00.907303Z,1222,CDT15VVH,384,English,23,Female,Asian,United States,United States,United States,Mandarin,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:47.012000Z,2026-05-15T18:05:56.961000Z,,2026-05-15T18:05:57.396319Z,1510,CDT15VVH,8585,"English, Spanish",35,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:57.836000Z,2026-05-15T18:04:24.584000Z,,2026-05-15T18:04:24.966716Z,1407,CDT15VVH,4193,English,51,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Fail,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:40.950000Z,2026-05-15T18:11:01.602000Z,,2026-05-15T18:11:02.015867Z,1821,CDT15VVH,145,English,20,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:43.383000Z,2026-05-15T18:33:09.994000Z,,2026-05-15T18:33:10.392272Z,3147,CDT15VVH,98,"English, Polish",65,Female,White,Poland,United States,United States,Polish,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:43:29.062000Z,2026-05-15T18:10:23.070000Z,,2026-05-15T18:10:24.095748Z,1615,CDT15VVH,1354,"English, Spanish",27,Male,White,Colombia,United States,Colombia,Spanish,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:09.722000Z,2026-05-15T18:33:30.175000Z,,2026-05-15T18:33:30.595945Z,3141,CDT15VVH,171,English,28,Male,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:01.207000Z,2026-05-15T18:18:07.505000Z,,2026-05-15T18:18:08.003145Z,2227,CDT15VVH,1148,English,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:44.338000Z,2026-05-15T17:55:33.638000Z,,2026-05-15T17:55:34.076949Z,890,CDT15VVH,455,English,27,Male,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:45.300000Z,2026-05-15T18:18:36.115000Z,,2026-05-15T18:18:36.526595Z,2271,CDT15VVH,2720,English,37,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:13.525000Z,2026-05-15T18:21:57.696000Z,,2026-05-15T22:38:45.546743Z,2445,CDT15VVH,329,English,32,Male,White,United States,United States,United States,English,Yes,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,mixed
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:00.538000Z,2026-05-15T18:12:14.838000Z,,2026-05-15T18:12:15.269389Z,1875,CDT15VVH,2247,English,32,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:49.419000Z,2026-05-15T18:10:51.852000Z,,2026-05-15T18:10:52.282041Z,1803,CDT15VVH,137,English,38,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:49.993000Z,2026-05-15T17:54:51.468000Z,,2026-05-15T17:54:51.906137Z,842,CDT15VVH,288,English,28,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month,N/A,Pass,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:19.175000Z,2026-05-15T18:16:23.393000Z,,2026-05-15T18:16:23.794932Z,2105,CDT15VVH,178,"English, Spanish",25,Female,White,United States,United States,United States,Spanish,No,Part-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:49.148000Z,2026-05-15T18:02:50.500000Z,,2026-05-15T18:02:50.931821Z,1322,CDT15VVH,16,"English, Spanish",27,Male,Mixed,Puerto Rico,United States,Puerto Rico,Spanish,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:55.098000Z,2026-05-15T18:04:12.959000Z,,2026-05-15T18:04:26.829271Z,1398,CDT15VVH,18,English,41,Male,White,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:49.972000Z,2026-05-15T17:57:29.914000Z,,2026-05-15T17:57:30.348142Z,1000,CDT15VVH,7214,English,30,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:11.934000Z,2026-05-15T18:04:58.132000Z,,2026-05-15T18:04:58.541241Z,1427,CDT15VVH,167,English,33,Female,White,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:50.882000Z,2026-05-15T18:01:31.632000Z,,2026-05-15T18:01:32.099250Z,1241,CDT15VVH,2801,English,37,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:51.047000Z,2026-05-15T17:59:56.093000Z,,2026-05-15T17:59:56.541141Z,1146,CDT15VVH,954,English,40,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:51.868000Z,2026-05-15T17:59:28.602000Z,,2026-05-15T17:59:28.975761Z,1117,CDT15VVH,128,English,22,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:56.097000Z,2026-05-15T18:05:35.670000Z,,2026-05-15T18:05:36.049074Z,1480,CDT15VVH,4886,"English, Spanish",48,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:52.501000Z,2026-05-15T18:00:08.758000Z,,2026-05-15T18:00:09.163473Z,1157,CDT15VVH,450,English,54,Female,Black,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:49.977000Z,2026-05-15T18:32:19.117000Z,,2026-05-15T18:32:19.576657Z,3090,CDT15VVH,11913,English,34,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:56.847000Z,2026-05-15T18:16:28.663000Z,,2026-05-15T18:16:29.089646Z,2132,CDT15VVH,11660,English,59,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:04.832000Z,2026-05-15T18:09:23.696000Z,,2026-05-15T18:09:24.094358Z,1699,CDT15VVH,446,English,24,Male,Black,United States,United States,DATA_EXPIRED,English,No,Full-Time,N/A,N/A,Pass,Fail,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:56.752000Z,2026-05-15T18:21:21.476000Z,,2026-05-15T18:21:21.895269Z,2425,CDT15VVH,5253,English,46,Male,Other,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:55.360000Z,2026-05-15T18:03:30.741000Z,,2026-05-15T18:03:31.129467Z,1356,CDT15VVH,3850,"English, Spanish",47,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:55.039000Z,2026-05-15T18:00:53.910000Z,,2026-05-15T18:00:54.379329Z,1199,CDT15VVH,61,English,30,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:52.626000Z,2026-05-15T18:28:05.359000Z,,2026-05-15T18:28:05.755283Z,2833,CDT15VVH,303,English,24,Female,Black,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:56.264000Z,2026-05-15T18:04:08.247000Z,,2026-05-15T18:04:08.670951Z,1392,CDT15VVH,23,English,20,Female,White,United States,United States,Greece,English,Yes,Full-Time,N/A,N/A,Pass,Fail,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:59.026000Z,2026-05-15T17:58:28.871000Z,,2026-05-15T17:58:29.692899Z,1050,CDT15VVH,1926,English,38,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:00.461000Z,2026-05-15T18:05:58.573000Z,,2026-05-15T18:05:59.039187Z,1499,CDT15VVH,6761,English,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:40:54.278000Z,2026-05-15T17:53:01.889000Z,,2026-05-15T17:53:02.346461Z,728,CDT15VVH,1170,"English, French",32,Male,Black,Cote d'Ivoire,United States,United States,English,No,Part-Time,N/A,N/A,N/A,N/A,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:04.098000Z,2026-05-15T18:28:14.397000Z,,2026-05-15T18:28:14.793163Z,2831,CDT15VVH,1,English,50,Female,White,United States,United States,DATA_EXPIRED,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:48:35.479000Z,2026-05-15T18:10:51.626000Z,,2026-05-15T18:10:52.066453Z,1337,CDT15VVH,1999,English,45,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:04.747000Z,2026-05-15T17:57:22.718000Z,,2026-05-15T17:57:23.146965Z,978,CDT15VVH,407,English,47,Male,Mixed,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:05.081000Z,2026-05-15T18:07:08.872000Z,,2026-05-15T18:07:09.267802Z,1564,CDT15VVH,56,English,50,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:09.233000Z,2026-05-15T18:12:31.170000Z,,2026-05-15T18:12:31.588625Z,1882,CDT15VVH,2136,English,53,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:13.183000Z,2026-05-15T18:17:48.288000Z,,2026-05-15T18:17:48.749007Z,2196,CDT15VVH,256,English,54,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:09.725000Z,2026-05-15T18:21:58.714000Z,,2026-05-15T18:21:59.092725Z,2449,CDT15VVH,110,English,38,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:20.573000Z,2026-05-15T18:12:52.367000Z,,2026-05-15T18:12:52.802248Z,1892,CDT15VVH,60,English,47,Female,White,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:08.389000Z,2026-05-15T18:26:15.361000Z,,2026-05-15T18:26:15.746376Z,2707,CDT15VVH,2638,English,39,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:14.884000Z,2026-05-15T18:37:04.523000Z,,2026-05-15T18:37:04.899648Z,3350,CDT15VVH,10359,English,47,Male,Other,United States,United States,United States,English,Yes,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:11.899000Z,2026-05-15T18:14:33.200000Z,,2026-05-15T18:14:33.623588Z,2002,CDT15VVH,58,English,33,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:11.236000Z,2026-05-15T18:03:44.551000Z,,2026-05-15T18:03:44.979707Z,1354,CDT15VVH,10464,English,46,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:47.033000Z,2026-05-15T18:32:26.720000Z,,2026-05-15T18:32:27.349578Z,3040,CDT15VVH,14,English,70,Female,Black,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-15T17:41:07.243000Z,2026-05-15T18:27:44.103000Z,,2026-05-15T18:27:44.468099Z,2797,CDT15VVH,5,English,24,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
